# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = eight_schools_cp_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.98999999999999999
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = eight_schools.data.R
# init = 2 (Default)
# random
#   seed = 483892929
# output
#   file = eight_schools_cp.99.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8
# Adaptation terminated
# Step size = 0.0672373
# Diagonal elements of inverse mass matrix:
# 15.9671, 0.740357, 39.0544, 28.6762, 37.7158, 32.5657, 31.48, 26.2433, 31.0576, 37.5237
-24.7765,0.9991,0.0672373,6,63,0,30.3013,3.34784,9.46211,9.4143,16.7962,12.0877,12.3437,-4.32095,9.68396,5.3105,-14.2034
-26.4377,0.997782,0.0672373,5,31,0,27.9705,1.26791,9.7568,9.48763,17.6155,13.3641,15.5481,-4.42069,8.93758,5.04803,-14.7137
-27.9015,0.993827,0.0672373,6,63,0,31.6136,0.124826,12.2759,8.42178,18.9162,14.4826,19.7023,-5.79834,4.86135,8.003,-16.9551
-25.5889,0.999981,0.0672373,6,63,0,30.3064,1.72235,11.207,7.63124,18.5928,10.8391,16.9722,-2.95612,1.6838,8.42322,-15.2739
-25.1884,0.994762,0.0672373,6,63,0,28.9323,4.89995,9.56444,12.2241,-2.59137,-1.74631,-8.20616,10.5318,6.08842,12.7889,27.5416
-16.1828,0.994836,0.0672373,6,63,0,28.9629,3.3324,3.42879,5.34846,4.04822,9.43437,-0.512692,8.22053,-0.372325,4.70746,2.92973
-20.603,0.989393,0.0672373,6,63,0,25.6848,3.39399,8.85896,12.3757,-4.53013,-0.895644,4.54317,-5.69939,-6.17217,8.60902,9.13137
