# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = eight_schools_cp_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = eight_schools.data.R
# init = 2 (Default)
# random
#   seed = 483892929
# output
#   file = eight_schools_cp.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8
# Adaptation terminated
# Step size = 0.318247
# Diagonal elements of inverse mass matrix:
# 16.9203, 0.417376, 52.247, 33.2917, 41.469, 33.6699, 25.913, 32.3457, 38.1192, 39.9596
-22.9622,0.958162,0.318247,4,15,0,29.5404,3.02138,12.3502,-1.07449,5.8668,5.21197,4.04629,-1.4593,-2.15831,14.5261,-11.445
-20.5688,0.763085,0.318247,3,7,0,32.1314,0.62315,2.90477,2.46669,7.26366,7.02933,0.715069,0.456524,0.981063,4.88069,-7.0058
-17.8825,0.764082,0.318247,2,3,0,25.7195,1.65731,7.1294,11.0761,0.291411,3.5209,0.982341,3.69796,1.50357,2.58049,0.188574
-16.8266,0.966994,0.318247,3,7,0,21.3018,2.79835,6.54263,10.439,1.49825,3.61923,4.9883,1.94629,2.60113,2.48084,0.805682
-13.7891,0.894753,0.318247,3,7,0,20.1002,8.19552,2.83451,2.98153,5.44831,6.43462,4.70893,8.14569,7.46152,8.15727,6.89251
-14.71,1,0.318247,3,7,0,17.4974,10.8164,3.02378,12.4282,10.8624,8.47755,10.9531,4.06529,7.9073,7.63709,7.73431
-16.8368,0.883653,0.318247,2,3,0,20.212,8.23387,1.82171,14.1332,11.9988,7.93854,8.69419,3.80358,6.9789,9.42088,8.41861
-13.845,0.583301,0.318247,2,3,0,19.6344,10.5011,1.96205,9.71199,12.1432,8.7954,9.61628,5.70829,8.26145,7.02167,9.31956
-13.845,0.0282535,0.318247,2,3,0,22.0447,10.5011,1.96205,9.71199,12.1432,8.7954,9.61628,5.70829,8.26145,7.02167,9.31956
-13.845,0.0451411,0.318247,2,3,0,18.8709,10.5011,1.96205,9.71199,12.1432,8.7954,9.61628,5.70829,8.26145,7.02167,9.31956
-13.845,1.35569e-09,0.318247,1,1,0,18.2677,10.5011,1.96205,9.71199,12.1432,8.7954,9.61628,5.70829,8.26145,7.02167,9.31956
-13.0498,0.142881,0.318247,3,7,0,16.5175,8.80081,2.17459,10.643,9.90366,10.0063,11.9572,8.52023,9.32776,5.80552,12.9122
-13.0498,0.00108315,0.318247,4,15,0,19.808,8.80081,2.17459,10.643,9.90366,10.0063,11.9572,8.52023,9.32776,5.80552,12.9122
-14.7286,0.804691,0.318247,3,7,0,18.2167,10.4743,2.38084,11.4418,12.0444,10.5129,13.0733,10.4987,10.5547,5.60835,15.1048
-15.3234,0.759249,0.318247,4,15,0,19.3615,11.5686,3.4725,8.94768,11.293,12.836,15.277,11.9378,11.418,6.62579,13.2483
-18.196,0.47109,0.318247,3,7,0,24.8787,14.0404,2.98565,18.2402,15.1744,12.0995,9.04301,18.6802,8.21971,13.7574,14.9008
-18.2628,0.504679,0.318247,3,7,0,23.0592,12.5156,4.42023,5.65643,7.07002,16.3463,11.6727,4.45831,12.6771,12.6691,11.0771
