# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = eight_schools_ncp_model
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = eight_schools.data.R
# init = 2 (Default)
# random
#   seed = 483892929
# output
#   file = eight_schools_ncp.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,tau,theta_tilde.1,theta_tilde.2,theta_tilde.3,theta_tilde.4,theta_tilde.5,theta_tilde.6,theta_tilde.7,theta_tilde.8,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8
# Adaptation terminated
# Step size = 0.314544
# Diagonal elements of inverse mass matrix:
# 15.4217, 1.22715, 0.918342, 0.748974, 0.870473, 0.872009, 0.833108, 0.843741, 0.862227, 0.870243
-4.08488,0.904984,0.314544,4,15,0,7.76068,6.80794,1.81959,1.29014,0.276613,0.587224,-0.425114,-0.0684355,0.687887,-0.905459,-0.559422,9.15548,7.31126,7.87645,6.0344,6.68341,8.05961,5.16037,5.79002
-7.55483,0.988656,0.314544,4,15,0,10.1196,9.39133,0.671841,-0.339312,0.305094,-1.35081,1.24866,-0.709669,-1.00274,1.76121,0.863994,9.16336,9.5963,8.4838,10.2302,8.91454,8.71765,10.5746,9.97179
-13.4384,0.696323,0.314544,3,7,0,18.9276,5.29642,0.202765,-0.652795,0.743301,-1.44039,1.32597,-0.308969,-0.445572,3.18825,1.81102,5.16406,5.44714,5.00436,5.56528,5.23377,5.20607,5.94289,5.66363
-7.39916,0.992162,0.314544,3,7,0,16.6459,9.3803,0.42814,-0.307863,-0.550203,-0.490756,1.03583,0.841861,-1.17469,1.36837,1.31526,9.24849,9.14473,9.17018,9.82378,9.74073,8.87736,9.96615,9.94341
-5.12541,0.995375,0.314544,3,7,0,14.536,9.18878,5.25094,1.56462,0.38234,-0.220453,1.58019,0.111135,0.104605,1.73192,0.00548835,17.4045,11.1964,8.03119,17.4863,9.77234,9.73805,18.283,9.21759
-4.15865,0.937589,0.314544,4,15,0,7.6373,-6.15,35.1765,0.0352534,0.378002,0.23053,-0.107726,0.0277303,0.0919281,0.38297,0.739559,-4.90991,7.14681,1.95923,-9.93943,-5.17455,-2.91629,7.32156,19.8651
-1.50993,0.556369,0.314544,2,3,0,8.83135,-3.09076,16.3213,1.06947,0.224897,0.503825,0.448183,0.199802,-0.113794,1.09942,-0.111118,14.3643,0.579838,5.1323,4.22415,0.170271,-4.94802,14.8532,-4.90435
-1.50993,0.717495,0.314544,4,15,0,6.93511,-3.09076,16.3213,1.06947,0.224897,0.503825,0.448183,0.199802,-0.113794,1.09942,-0.111118,14.3643,0.579838,5.1323,4.22415,0.170271,-4.94802,14.8532,-4.90435
-1.75934,0.754927,0.314544,3,7,0,6.08897,2.43167,9.78349,0.993595,1.06228,-0.405135,0.50716,0.292102,0.480735,1.03936,0.46603,12.1525,12.8244,-1.53197,7.39346,5.28945,7.13493,12.6002,6.99107
-2.75374,0.908797,0.314544,4,15,0,5.47501,12.1486,8.3509,0.117939,-1.01684,0.500079,-0.0781734,-1.31629,-0.369133,-0.195805,0.208671,13.1335,3.65709,16.3248,11.4958,1.15646,9.06605,10.5135,13.8912
-6.5307,0.845953,0.314544,4,15,0,9.67356,1.99493,0.433472,0.36867,1.46732,-0.763449,0.00339222,1.12838,0.161668,0.80649,-0.224251,2.15474,2.63098,1.664,1.99641,2.48406,2.06501,2.34453,1.89773
-9.68208,0.599965,0.314544,4,15,0,14.9099,11.7087,1.58159,1.28417,-1.11048,0.0595436,-0.272245,-1.19474,-0.820219,3.10666,-0.0596605,13.7397,9.95239,11.8029,11.2781,9.81913,10.4115,16.6222,11.6144
-6.79803,0.987233,0.314544,4,15,0,15.0263,-4.07849,8.85366,0.861929,1.04421,0.964287,0.428936,0.661696,0.323758,-0.73235,0.827914,3.55273,5.1666,4.45897,-0.280839,1.77993,-1.21205,-10.5625,3.25157
-6.81538,0.889632,0.314544,3,7,0,11.8013,-1.48537,8.6809,1.13463,1.41309,0.463323,0.928958,1.57368,0.531479,-0.334254,0.404086,8.36421,10.7816,2.53668,6.57881,12.1756,3.12834,-4.38699,2.02245
